SpeciesName,month,year,stateProvince,decimalLatitude,decimalLongitude
Sandpiper,12,2017,Victoria,-38.561,142.0944
Sandpiper,3,1975,Victoria,-38.4694,145.4055
Sandpiper,12,1981,Victoria,-38.2485,144.5846
Sandpiper,12,1977,Victoria,-38.0818,141.0847
Sandpiper,12,1976,Victoria,-38.2068,145.3763
Sandpiper,12,1978,Victoria,-38.2485,141.7513
Sandpiper,6,1978,Victoria,-38.4152,141.5847
Sandpiper,3,1976,Victoria,-37.9984,145.1679
Sandpiper,,,Victoria,-37.5817,149.7512
Sandpiper,12,1980,Victoria,-38.2485,144.5846
Sandpiper,12,1997,Victoria,-37.8602,144.859
Sandpiper,3,1975,Victoria,-38.1651,145.1679
Sandpiper,9,2006,Victoria,-37.9849,144.6615
Sandpiper,12,1981,Victoria,-36.5818,146.5846
Sandpiper,9,1981,Victoria,-38.4152,141.5847
Sandpiper,3,1975,Victoria,-38.3721,145.2221
Sandpiper,3,1980,Victoria,-38.2485,144.7513
Sandpiper,12,2017,Victoria,-37.7597,148.788
Sandpiper,12,1977,Victoria,-36.9152,141.2513
Sandpiper,9,2000,Victoria,-38.3519,142.3066
Sandpiper,12,1987,Victoria,-38.5341,143.9745
Sandpiper,12,1980,Victoria,-38.0818,145.2513
Sandpiper,12,1979,Victoria,-38.2485,144.5846
Sandpiper,12,2018,Victoria,-38.3802,142.2414
Sandpiper,12,1999,Victoria,-38.0492,141.0088
Sandpiper,12,1992,Victoria,-38.3151,145.2013
Sandpiper,12,2018,Victoria,-38.561,142.0944
Sandpiper,3,1983,Victoria,-38.0709,145.172
Sandpiper,12,1977,Victoria,-37.5818,144.5846
Sandpiper,1,1950,Victoria,-37.8544,144.8387
Sandpiper,12,1978,Victoria,-38.2485,144.5846
Sandpiper,12,2018,Victoria,-38.3802,142.2414
Sandpiper,3,1977,Victoria,-38.0402,141.043
Sandpiper,9,1989,Victoria,-38.2068,145.3763
Sandpiper,3,1962,New South Wales,-34.1651,142.1679
Sandpiper,12,2018,Victoria,-37.8981,144.7799
Sandpiper,9,1980,Victoria,-38.2485,144.5846
Sandpiper,1,1928,Victoria,-38.4985,142.5013
Sandpiper,9,1979,Victoria,-38.2485,144.5846
Sandpiper,12,2017,Victoria,-37.8981,144.7799
Sandpiper,,,Victoria,-37.9151,147.7512
Sandpiper,12,1974,Victoria,-38.3818,145.2679
Sandpiper,3,1993,Victoria,-38.3878,142.2409
Sandpiper,12,2018,Victoria,-37.8981,144.7799
Sandpiper,6,1977,Victoria,-38.2485,144.5846
Sandpiper,3,1979,Victoria,-38.2485,144.418
Sandpiper,12,1980,Victoria,-38.0818,144.5846
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,3,2019,Victoria,-37.5573,145.1372
Sandpiper,3,1988,Victoria,-38.1543,144.42
Sandpiper,12,2017,Victoria,-38.464,145.3026
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,3,1988,Victoria,-36.7106,144.2622
Sandpiper,9,1987,Victoria,-38.4688,145.4063
Sandpiper,12,2000,Victoria,-38.0645,145.1688
Sandpiper,12,2017,Victoria,-38.464,145.3026
Sandpiper,12,2018,Victoria,-38.3889,142.2423
Sandpiper,9,2018,Victoria,-38.3885,142.2411
Sandpiper,9,2016,Victoria,-38.0761,144.4326
Sandpiper,6,1978,Victoria,-37.7484,148.5846
Sandpiper,9,1979,Victoria,-38.2485,144.5846
Sandpiper,4,1993,Victoria,-38.2318,145.4846
Sandpiper,,,Victoria,-37.8318,145.0013
Sandpiper,9,2017,Victoria,-38.464,145.3026
Sandpiper,3,1975,Victoria,-38.3721,145.2221
Sandpiper,3,1977,Victoria,-38.6401,146.6596
Sandpiper,3,2007,Victoria,-38.0666,145.1666
Sandpiper,,,Victoria,-37.5817,149.7512
Sandpiper,9,1980,Victoria,-38.4152,141.5847
Sandpiper,12,2016,Victoria,-38.4289,144.181
Sandpiper,9,2005,Victoria,-38.6568,145.8089
Sandpiper,9,1976,Victoria,-38.3318,145.5013
Sandpiper,1,1993,Victoria,-37.7752,148.5166
Sandpiper,12,1991,Victoria,-38.2068,145.3763
Sandpiper,12,1981,Victoria,-38.2485,144.5846
Sandpiper,,,Victoria,-37.5817,149.7512
Sandpiper,9,1978,Victoria,-38.0818,141.0847
Sandpiper,3,2007,Victoria,-38.3166,142.0638
Sandpiper,,,Victoria,-37.8318,145.0013
Sandpiper,12,1974,Victoria,-38.3151,145.2013
Sandpiper,1,1977,Victoria,-38.6234,146.6263
Sandpiper,3,1974,Victoria,-38.2068,145.3763
Sandpiper,12,2008,Victoria,-38.5061,145.158
Sandpiper,3,1992,Victoria,-38.3878,142.2409
Sandpiper,3,2017,Victoria,-37.8644,144.9658
Sandpiper,3,2007,Victoria,-37.7825,144.9408
Sandpiper,12,1978,Victoria,-36.7485,144.2513
Sandpiper,3,1980,Victoria,-38.2485,144.5846
Sandpiper,9,2018,Victoria,-38.3788,142.2394
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,12,1991,Victoria,-38.0482,147.4634
Sandpiper,12,1962,Victoria,-38.1318,141.1013
Sandpiper,12,2003,Victoria,-37.848,147.8145
Sandpiper,12,2017,Victoria,-38.464,145.3026
Sandpiper,3,1989,Victoria,-36.7106,144.2645
Sandpiper,12,1981,Victoria,-38.2485,144.5846
Sandpiper,12,2018,Victoria,-38.3788,142.2394
Sandpiper,4,1984,Victoria,-34.3568,142.0263
Sandpiper,12,2017,Victoria,-38.3819,142.2311
Sandpiper,9,2006,Victoria,-37.8297,144.898
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,9,1975,Victoria,-38.5151,145.3513
Sandpiper,12,2017,Victoria,-38.3889,142.2423
Sandpiper,12,2007,Victoria,-38.0666,145.1666
Sandpiper,12,2018,Victoria,-37.8981,144.7799
Sandpiper,1,1999,Victoria,-38.0638,145.1768
Sandpiper,9,2000,Victoria,-37.7813,149.3092
Sandpiper,3,2007,Victoria,-38.5,145.15
Sandpiper,12,2018,Victoria,-37.8981,144.7799
Sandpiper,3,2001,Victoria,-38.6336,145.7506
Sandpiper,12,1991,Victoria,-38.2151,145.3179
Sandpiper,3,1981,Victoria,-38.2485,144.5846
Sandpiper,3,2019,Victoria,-37.8563,144.853
Sandpiper,1,1980,Victoria,-38.2485,144.7513
Sandpiper,12,2018,Victoria,-38.3819,142.2311
Sandpiper,1,1985,Victoria,-35.5901,143.7763
Sandpiper,9,1977,Victoria,-38.0818,141.0847
Sandpiper,12,1985,Victoria,-36.6846,144.3102
Sandpiper,12,1979,Victoria,-38.2485,144.418
Sandpiper,9,2014,Victoria,-38.3002,144.3743
Sandpiper,6,2018,Victoria,-37.7999,148.7414
Sandpiper,4,1978,Victoria,-38.2485,144.7513
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,4,1999,Victoria,-38.3532,141.6017
Sandpiper,9,2017,Victoria,-38.6724,145.7986
Sandpiper,3,1980,Victoria,-38.2485,144.5846
Sandpiper,3,1988,Victoria,-38.1515,144.4226
Sandpiper,12,2007,Victoria,-38.0666,145.1666
Sandpiper,9,1993,Victoria,-37.8276,144.902
Sandpiper,4,1972,Victoria,-38.2177,145.3511
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,10,1999,Victoria,-38.3532,141.6017
Sandpiper,9,2017,Victoria,-38.464,145.3026
Sandpiper,12,1999,Victoria,-38.6479,143.0853
Sandpiper,3,1995,Victoria,-38.1523,144.4214
Sandpiper,6,1978,Victoria,-38.4526,145.5782
Sandpiper,3,2001,Victoria,-38.0645,145.1688
Sandpiper,10,2016,Victoria,-38.5959,143.9191
Sandpiper,9,2018,Victoria,-38.3889,142.2423
Sandpiper,12,1980,Victoria,-37.9151,144.7513
Sandpiper,3,1974,Victoria,-38.2734,145.3263
Sandpiper,1,1977,Victoria,-37.6651,150.0012
Sandpiper,9,1979,Victoria,-38.2234,145.3096
Sandpiper,9,1980,Victoria,-38.2485,144.7513
Sandpiper,9,1990,Victoria,-38.2621,144.6701
Sandpiper,7,1975,Victoria,-37.9984,145.1679
Sandpiper,9,2004,Victoria,-38.6568,145.8089
Sandpiper,10,1981,Victoria,-38.3068,145.3096
Sandpiper,12,1991,Victoria,-38.0391,147.4633
Sandpiper,10,1988,Victoria,-37.8257,144.8975
Sandpiper,1,1974,Victoria,-38.4985,142.5013
Sandpiper,12,1986,Victoria,-38.2068,145.3763
Sandpiper,12,2018,Victoria,-38.3889,142.2423
Sandpiper,9,1983,Victoria,-38.3922,145.3919
Sandpiper,12,1978,Victoria,-38.5151,145.3513
Sandpiper,1,2017,Victoria,-37.9979,144.5917
Sandpiper,,,Victoria,-37.9151,147.7512
Sandpiper,,,Victoria,-38.4151,144.0846
Sandpiper,3,2017,Victoria,-37.5573,145.1372
Sandpiper,12,1990,Victoria,-38.2068,145.3763
Sandpiper,12,1976,Victoria,-38.3818,145.2013
Sandpiper,4,1981,Victoria,-38.2485,144.5846
Sandpiper,,,Victoria,-37.9151,147.7512
Sandpiper,12,1999,Victoria,-38.0645,145.1688
Sandpiper,12,1978,Victoria,-38.5151,145.3513
Sandpiper,3,2018,Victoria,-37.5573,145.1372
Sandpiper,10,1999,Victoria,-38.0537,141.011
Sandpiper,12,2018,Victoria,-38.3125,145.1905
Sandpiper,,,Victoria,-37.8318,145.0013
Sandpiper,10,2012,Victoria,-37.62,142.856
Sandpiper,,,Victoria,-37.9151,147.7512
Sandpiper,1,1999,Victoria,-38.3532,141.6017
Sandpiper,12,2017,Victoria,-38.464,145.3026
Sandpiper,12,1978,Victoria,-38.2902,141.793
Sandpiper,10,2018,Victoria,-38.4882,145.4352
Sandpiper,12,1980,Victoria,-38.0818,141.0847
Sandpiper,3,2004,Victoria,-38.6568,145.8089
Sandpiper,9,2018,Victoria,-38.3819,142.2311
Sandpiper,3,2019,Victoria,-37.5573,145.1372
Sandpiper,10,1981,Victoria,-37.9151,144.9179
Sandpiper,9,2001,Victoria,-38.2656,144.4928
Sandpiper,1,1967,Victoria,-38.6651,143.0513
Sandpiper,4,2017,Victoria,-35.6742,143.7298
Sandpiper,3,1982,New South Wales,-34.1676,142.0814
Sandpiper,,,Victoria,-38.4151,144.0846
Sandpiper,,,Victoria,-37.9985,144.7513
Sandpiper,3,2018,Victoria,-37.5573,145.1372
Sandpiper,9,2017,Victoria,-38.5758,145.5109
Sandpiper,9,1980,Victoria,-38.0818,144.5846
Sandpiper,1,2017,Victoria,-37.9979,144.5917
Sandpiper,1,1980,Victoria,-38.2353,145.3165
Sandpiper,12,2017,Victoria,-38.0493,141.006
Sandpiper,9,1974,Victoria,-38.4151,145.4346
Sandpiper,,,Victoria,-37.8318,145.0013
Sandpiper,3,1977,Victoria,-38.4152,142.0847
Sandpiper,12,2018,Victoria,-38.3819,142.2311
Sandpiper,12,1987,Victoria,-38.0709,145.172
Sandpiper,1,2017,Victoria,-37.9979,144.5917
Sandpiper,4,1984,Victoria,-38.2151,145.3179
Sandpiper,1,1977,Victoria,-38.5818,143.5846
Sandpiper,1,2014,Victoria,-36.6906,144.304
Sandpiper,1,1977,Victoria,-38.6234,146.7096
Sandpiper,1,2017,Victoria,-37.9028,144.7793
Sandpiper,9,2018,Victoria,-38.3889,142.2423
Sandpiper,12,2017,Victoria,-38.3819,142.2311
Sandpiper,1,2010,Victoria,-37.9849,144.6615
Sandpiper,4,1987,Victoria,-38.2151,145.3179
Sandpiper,10,2017,Victoria,-38.561,142.0944
Sandpiper,1,1984,Victoria,-35.4985,143.6679
Sandpiper,1,2019,Victoria,-37.9028,144.7793
Sandpiper,1,2000,Victoria,-38.3532,141.6017
Sandpiper,12,2018,Victoria,-38.7644,143.6667
Sandpiper,9,2018,Victoria,-38.3819,142.2311
Sandpiper,1,2018,Victoria,-37.4311,143.706
Sandpiper,1,2008,Victoria,-38.0666,145.1666
Sandpiper,1,2000,Victoria,-38.6729,145.8005
Sandpiper,10,1981,Victoria,-38.2485,144.7513
Sandpiper,3,1989,Victoria,-36.7101,144.2421
Sandpiper,10,2006,Victoria,-37.0297,143.7433
Sandpiper,12,1964,Victoria,-38.0902,141.0597
Sandpiper,12,1978,Victoria,-36.7485,144.2513
Sandpiper,1,2016,Victoria,-38.3045,144.3677
Sandpiper,4,1978,Victoria,-38.2485,144.5846
Sandpiper,1,1976,Victoria,-38.1651,145.1679
Sandpiper,1,1974,Victoria,-38.3984,145.2846
Sandpiper,12,1991,Victoria,-37.7778,148.5302
Sandpiper,4,1978,Victoria,-37.7484,144.9179
Sandpiper,12,1964,Victoria,-38.0902,141.0597
Sandpiper,12,1977,Victoria,-38.2485,144.418
Sandpiper,4,1972,Victoria,-38.1651,145.1679
Sandpiper,1,1979,Victoria,-38.2485,144.5846
Sandpiper,1,1975,Victoria,-37.9387,144.3788
Sandpiper,1,1973,New South Wales,-35.8568,145.6096
Sandpiper,9,1979,Victoria,-38.2485,144.2513
Sandpiper,1,2017,Victoria,-38.3052,144.377
Sandpiper,10,1981,Victoria,-38.2485,144.7513
Sandpiper,3,2003,Victoria,-38.6568,145.8089
Sandpiper,1,1981,Victoria,-38.3734,145.5429
Sandpiper,10,1980,Victoria,-38.2485,144.5846
Sandpiper,12,1981,Victoria,-37.9151,144.7513
Sandpiper,1,2019,Victoria,-38.3022,145.195
Sandpiper,3,1977,Victoria,-38.0818,141.0847
Sandpiper,1,2011,Victoria,-37.9812,144.6636
Sandpiper,10,2017,Victoria,-37.859,144.8671
Sandpiper,,,Victoria,-34.1651,142.0013
Sandpiper,1,2017,Victoria,-38.1553,144.5519
Sandpiper,1,2008,Victoria,-38.0666,145.1666
Sandpiper,12,1991,Victoria,-38.0482,147.4634
Sandpiper,1,1965,Victoria,-38.1651,145.1679
Sandpiper,3,2007,Victoria,-38.5061,145.158
Sandpiper,1,2017,Victoria,-37.9979,144.5917
Sandpiper,1,1980,Victoria,-38.3735,145.1263
Sandpiper,10,1995,Victoria,-37.9998,144.4108
Sandpiper,10,1992,Victoria,-37.7545,142.2177
Sandpiper,1,1980,Victoria,-38.3401,145.2096
Sandpiper,4,1984,Victoria,-38.2068,145.3763
Sandpiper,1,1972,Victoria,-37.9568,145.2929
Sandpiper,3,1978,Victoria,-37.9151,144.7513
Sandpiper,1,2017,Victoria,-37.9979,144.5917
Sandpiper,1,2012,Victoria,-37.9849,144.6615
Sandpiper,6,1979,Victoria,-38.2485,144.2513
Sandpiper,4,2001,Victoria,-38.2629,144.4941
Sandpiper,1,2019,Victoria,-37.8981,144.7799
Sandpiper,1,2009,Victoria,-37.9849,144.6615
Sandpiper,10,2018,Victoria,-37.8608,144.875
Sandpiper,10,1998,Victoria,-38.5777,145.5117
Sandpiper,1,2019,Victoria,-37.7945,148.5354
Sandpiper,1,1978,Victoria,-38.4151,142.5847
Sandpiper,1,1977,Victoria,-38.0057,144.5587
Sandpiper,10,1988,Victoria,-38.2666,144.5385
Sandpiper,1,1970,Victoria,-37.8544,144.8387
Sandpiper,1,1981,Victoria,-38.2485,144.7513
Sandpiper,1,1971,Victoria,-37.9985,141.8347
Sandpiper,12,1999,Victoria,-36.6889,141.9399
Sandpiper,1,1950,Victoria,-37.8735,144.8929
Sandpiper,1,1981,Victoria,-38.3734,145.2929
Sandpiper,,,Victoria,-37.9151,147.7512
Sandpiper,4,2019,Victoria,-37.8708,144.8248
Sandpiper,10,1998,Victoria,-38.3532,141.6017
Sandpiper,1,2019,Victoria,-37.7945,148.5354
Sandpiper,1,2011,Victoria,-37.9849,144.6615
Sandpiper,3,2016,Victoria,-38.3002,144.3743
Sandpiper,1,2014,Victoria,-38.2923,144.3863
Sandpiper,1,2017,Victoria,-37.9979,144.5917
Sandpiper,10,1998,Victoria,-38.3981,142.5124
Sandpiper,4,2019,Victoria,-37.8708,144.8248
Sandpiper,10,1996,Victoria,-37.8602,144.859
Sandpiper,1,2008,Victoria,-37.9849,144.6615
Sandpiper,10,1974,Victoria,-38.4985,142.168
Sandpiper,9,2008,Victoria,-37.8563,144.9347
Sandpiper,1,1977,Victoria,-37.7485,142.2513
Sandpiper,4,1979,Victoria,-38.2068,145.3763
Sandpiper,1,2011,Victoria,-37.9812,144.6636
Sandpiper,1,1977,Victoria,-38.0818,144.418
Sandpiper,10,1996,Victoria,-37.8602,144.859
Sandpiper,6,1931,Victoria,-37.9985,145.0013
Sandpiper,10,2018,Victoria,-37.8563,144.853
Sandpiper,9,2017,Victoria,-38.464,145.3026
Sandpiper,10,1986,Victoria,-38.0401,144.543
Sandpiper,10,2007,Victoria,-37.7938,148.5294
Sandpiper,12,1977,Victoria,-37.9151,144.7513
Sandpiper,10,2017,Victoria,-38.5194,142.1528
Sandpiper,1,1993,Victoria,-38.1543,144.42
Sandpiper,12,1978,Victoria,-38.5818,145.2513
Sandpiper,1,1977,Victoria,-38.0818,141.0847
Sandpiper,3,1979,Victoria,-38.0818,144.5846
Sandpiper,4,1980,Victoria,-38.2485,144.5846
Sandpiper,10,1978,Victoria,-38.2484,145.4179
Sandpiper,10,2018,Victoria,-38.3889,142.2423
Sandpiper,11,1980,Victoria,-37.9151,144.9179
Sandpiper,1,2001,Victoria,-38.5794,145.5105
Sandpiper,9,2018,Victoria,-38.3889,142.2423
Sandpiper,7,1989,Victoria,-37.9023,144.8009
Sandpiper,12,1991,Victoria,-38.0391,147.4633
Sandpiper,10,2017,Victoria,-38.464,145.3026
Sandpiper,1,1981,Victoria,-38.2485,144.5846
Sandpiper,1,1978,Victoria,-38.286,145.0981
Sandpiper,2,1987,Victoria,-37.9068,147.7429
Sandpiper,1,1977,Victoria,-38.4152,142.2513
Sandpiper,9,2017,Victoria,-38.3889,142.2423
Sandpiper,1,1961,Victoria,-38.4985,142.3347
Sandpiper,9,2017,Victoria,-37.8981,144.7799
Sandpiper,10,2017,Victoria,-38.464,145.3026
Sandpiper,1,2001,Victoria,-37.9801,144.6734
Sandpiper,10,2018,Victoria,-38.3819,142.2311
Sandpiper,11,2000,Victoria,-38.3532,141.6017
Sandpiper,1,1977,Victoria,-38.4152,142.2513
Sandpiper,12,1980,Victoria,-37.5818,144.9179
Sandpiper,10,2010,Victoria,-37.9975,144.6259
Sandpiper,1,2019,Victoria,-38.3919,142.2396
Sandpiper,1,1981,Victoria,-38.3734,145.2096
Sandpiper,10,1973,Victoria,-38.4846,145.4253
Sandpiper,10,2018,Victoria,-38.3819,142.2311
Sandpiper,2,1992,Victoria,-38.1528,144.4209
Sandpiper,1,1960,Victoria,-35.8318,144.1679
Sandpiper,1,1976,Victoria,-38.3484,145.2179
Sandpiper,10,2014,Victoria,-38.3002,144.3743
Sandpiper,1,2017,Victoria,-37.9979,144.5917
Sandpiper,4,1989,Victoria,-38.763,143.6721
Sandpiper,4,1982,Victoria,-38.2901,144.5096
Sandpiper,10,2018,Victoria,-38.3889,142.2423
Sandpiper,11,2009,Victoria,-37.9849,144.6615
Sandpiper,1,2017,Victoria,-37.9028,144.7793
Sandpiper,4,1976,Victoria,-38.3984,145.2846
Sandpiper,10,1992,Victoria,-35.1652,141.8155
Sandpiper,10,2017,Victoria,-38.561,142.0944
Sandpiper,1,2000,Victoria,-37.9653,147.0029
Sandpiper,1,2017,Victoria,-37.8265,144.8965
Sandpiper,1,2019,Victoria,-38.4957,145.4357
Sandpiper,1,2001,Victoria,-38.0537,141.011
Sandpiper,1,2019,Victoria,-38.3085,145.1976
Sandpiper,1,2019,Victoria,-38.605,146.8878
Sandpiper,10,1987,Victoria,-38.0709,145.172
Sandpiper,1,1977,Victoria,-37.5817,149.9179
Sandpiper,1,2018,Victoria,-38.3125,145.1905
Sandpiper,1,2007,Victoria,-38.068,145.1455
Sandpiper,2,1988,Victoria,-38.0565,145.1701
Sandpiper,1,1970,Victoria,-38.0408,144.5119
Sandpiper,10,1988,Victoria,-38.2722,144.5932
Sandpiper,10,1985,Victoria,-38.0401,144.543
Sandpiper,4,2019,Victoria,-37.8692,144.843
Sandpiper,10,1979,Victoria,-38.2425,144.4651
Sandpiper,1,2015,Victoria,-38.3002,144.3737
Sandpiper,10,1979,Victoria,-38.2485,144.5846
Sandpiper,2,1983,Victoria,-36.6934,144.2987
Sandpiper,2,1985,Victoria,-34.2568,141.9929
Sandpiper,2,1972,Victoria,-38.4985,142.5013
Sandpiper,4,2017,Victoria,-38.21,145.4367
Sandpiper,10,2014,Victoria,-38.3002,144.3743
Sandpiper,4,2000,Victoria,-38.0537,141.011
Sandpiper,4,1974,Victoria,-38.2068,145.3763
Sandpiper,1,1980,Victoria,-38.2485,144.5846
Sandpiper,2,1985,Victoria,-36.6934,144.2987
Sandpiper,1,2000,Victoria,-38.0645,145.1688
Sandpiper,1,2001,Victoria,-38.0645,145.1688
Sandpiper,10,1975,Victoria,-38.3151,145.2013
Sandpiper,1,1980,Victoria,-38.0818,144.5846
Sandpiper,1,1975,Victoria,-38.3318,145.1679
Sandpiper,10,1978,Victoria,-38.3735,141.6263
Sandpiper,1,2017,Victoria,-37.4399,144.9981
Sandpiper,2,1999,Victoria,-38.4035,142.5125
Sandpiper,4,1980,Victoria,-36.5818,144.7513
Sandpiper,2,1999,Victoria,-38.3532,141.6017
Sandpiper,7,1974,Victoria,-38.3151,145.2013
Sandpiper,1,2019,Victoria,-37.8981,144.7799
